,Coach,School_x,Conference_x,W_2013,L_2013,W-L%_2013,AP_Pre_2013,AP_Post_2013,NCAA_Tournament_2013,Since_2013,W_Career_2013,L_Career_2013,W-L%_Career_2013,NCAA_Career_2013,S16_Career_2013,FF_Career_2013,Chmp_Career_2013,W_Overall_2013,L_Overall_2013,W-L%_Overall_2013,NCAA_Overall_2013,S16_Overall_2013,FF_Overall_2013,Chmp_Overall_2013,School_y,Conference_y,W_2014,L_2014,W-L%_2014,AP_Pre_2014,AP_Post_2014,NCAA_Tournament_2014,Since_2014,W_Career_2014,L_Career_2014,W-L%_Career_2014,NCAA_Career_2014,S16_Career_2014,FF_Career_2014,Chmp_Career_2014,W_Overall_2014,L_Overall_2014,W-L%_Overall_2014,NCAA_Overall_2014,S16_Overall_2014,FF_Overall_2014,Chmp_Overall_2014,School_x,Conference_x,W_2015,L_2015,W-L%_2015,AP_Pre_2015,AP_Post_2015,NCAA_Tournament_2015,Since_2015,W_Career_2015,L_Career_2015,W-L%_Career_2015,NCAA_Career_2015,S16_Career_2015,FF_Career_2015,Chmp_Career_2015,W_Overall_2015,L_Overall_2015,W-L%_Overall_2015,NCAA_Overall_2015,S16_Overall_2015,FF_Overall_2015,Chmp_Overall_2015,School_y,Conference_y,W_2016,L_2016,W-L%_2016,AP_Pre_2016,AP_Post_2016,NCAA_Tournament_2016,Since_2016,W_Career_2016,L_Career_2016,W-L%_Career_2016,NCAA_Career_2016,S16_Career_2016,FF_Career_2016,Chmp_Career_2016,W_Overall_2016,L_Overall_2016,W-L%_Overall_2016,NCAA_Overall_2016,S16_Overall_2016,FF_Overall_2016,Chmp_Overall_2016,School,Conference,W_2017,L_2017,W-L%_2017,AP_Pre_2017,AP_Post_2017,NCAA_Tournament_2017,Since_2017,W_Career_2017,L_Career_2017,W-L%_Career_2017,NCAA_Career_2017,S16_Career_2017,FF_Career_2017,Chmp_Career_2017,W_Overall_2017,L_Overall_2017,W-L%_Overall_2017,NCAA_Overall_2017,S16_Overall_2017,FF_Overall_2017,Chmp_Overall_2017,FIRED?,WHEN
287,Andy Enfield,USC,Pac-12,11,21,0.344,,,,2013-14,11,21,0.344,,,,,52,49,0.515,1,1,,,USC,Pac-12,12,20,0.375,,,,2013-14,23,41,0.359,,,,,64,69,0.481,1,1,,,USC,Pac-12,21,13,0.618,,,Lost First Round,2013-14,44,54,0.449,1,,,,85,82,0.509,2,1,,,USC,Pac-12,26,10,0.722,,,Lost Second Round,2013-14,70,64,0.522,2,,,,111,92,0.547,3,1,,,USC,Pac-12,24,12,0.667,10,,,2013-14,94,76,0.553,2,,,,135,104,0.565,3,1,,,N,
288,Barry Hinson,Southern Illinois,MVC,14,19,0.424,,,,2012-13,28,36,0.438,,,,,233,176,0.57,,,,,Southern Illinois,MVC,12,21,0.364,,,,2012-13,40,57,0.412,,,,,245,197,0.554,,,,,Southern Illinois,MVC,22,10,0.688,,,,2012-13,62,67,0.481,,,,,267,207,0.563,,,,,Southern Illinois,MVC,17,16,0.515,,,,2012-13,79,83,0.488,,,,,284,223,0.56,,,,,Southern Illinois,MVC,20,13,0.606,,,,2012-13,99,96,0.508,,,,,304,236,0.563,,,,,N,
289,Lennox Forrester,SIU-Edwardsville,OVC,11,20,0.355,,,,2008-09,53,119,0.308,,,,,53,119,0.308,,,,,SIU-Edwardsville,OVC,12,16,0.429,,,,2008-09,65,135,0.325,,,,,65,135,0.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2015
290,Larry Brown*,SMU,AAC,27,10,0.73,,,,2012-13,42,27,0.609,,,,,219,88,0.713,7,4,3,1,SMU,AAC,27,7,0.794,22,18,Lost Second Round,2012-13,69,34,0.67,1,,,,246,95,0.721,8,4,3,1,SMU,AAC,16,5,0.762,,24,,2012-13,85,39,0.685,1,,,,262,100,0.724,8,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
291,Donnie Tyndall*,Southern Miss,CUSA,29,7,0.806,,,,2012-13,56,17,0.767,,,,,170,102,0.625,2,,,,Tennessee,SEC,16,16,0.5,,,,2014-15,16,16,0.5,,,,,186,118,0.612,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2015
292,Nick Robinson,Southern Utah,Big Sky,2,27,0.069,,,,2012-13,13,47,0.217,,,,,13,47,0.217,,,,,Southern Utah,Big Sky,10,19,0.345,,,,2012-13,23,66,0.258,,,,,23,66,0.258,,,,,Southern Utah,Big Sky,6,24,0.2,,,,2012-13,29,90,0.244,,,,,29,90,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2016
293,Mark Schmidt,St. Bonaventure,A-10,18,15,0.545,,,,2007-08,106,110,0.491,1,,,,188,200,0.485,1,,,,St. Bonaventure,A-10,18,13,0.581,,,,2007-08,124,123,0.502,1,,,,206,213,0.492,1,,,,St. Bonaventure,A-10,22,9,0.71,,,,2007-08,146,132,0.525,1,,,,228,222,0.507,1,,,,St. Bonaventure,A-10,20,12,0.625,,,,2007-08,166,144,0.535,1,,,,248,234,0.515,1,,,,St. Bonaventure,A-10,26,8,0.765,,,Lost First Round,2007-08,192,152,0.558,2,,,,274,242,0.531,2,,,,N,
294,Glenn Braica,St. Francis (NY),NEC,18,14,0.562,,,,2010-11,60,62,0.492,,,,,60,62,0.492,,,,,St. Francis (NY),NEC,23,12,0.657,,,,2010-11,83,74,0.529,,,,,83,74,0.529,,,,,St. Francis (NY),NEC,15,17,0.469,,,,2010-11,98,91,0.519,,,,,98,91,0.519,,,,,St. Francis (NY),NEC,4,27,0.129,,,,2010-11,102,118,0.464,,,,,102,118,0.464,,,,,St. Francis (NY),NEC,13,18,0.419,,,,2010-11,115,136,0.458,,,,,115,136,0.458,,,,,N,
295,Steve Lavin,St. John's (NY),Big East,20,13,0.606,,,,2010-11,71,60,0.542,1,,,,216,138,0.61,7,5,,,St. John's (NY),Big East,21,12,0.636,,,Lost Second Round,2010-11,92,72,0.561,2,,,,237,150,0.612,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
296,Johnny Dawkins,Stanford,Pac-12,23,13,0.639,,,Lost Regional Semifinal,2008-09,117,87,0.574,1,1,,,117,87,0.574,1,1,,,Stanford,Pac-12,24,13,0.649,,,,2008-09,141,100,0.585,1,1,,,141,100,0.585,1,1,,,Stanford,Pac-12,15,15,0.5,,,,2008-09,156,115,0.576,1,1,,,156,115,0.576,1,1,,,UCF,AAC,24,12,0.667,,,,2016-17,24,12,0.667,,,,,180,127,0.586,1,1,,,UCF,AAC,19,13,0.594,,,,2016-17,43,25,0.632,,,,,199,140,0.587,1,1,,,Y,2016
297,Brad Underwood,Stephen F. Austin,Southland,32,3,0.914,,,Lost Third Round,2013-14,32,3,0.914,1,,,,32,3,0.914,1,,,,Stephen F. Austin,Southland,29,5,0.853,,,Lost Second Round,2013-14,61,8,0.884,2,,,,61,8,0.884,2,,,,Stephen F. Austin,Southland,28,6,0.824,,,Lost Second Round,2013-14,89,14,0.864,3,,,,89,14,0.864,3,,,,Oklahoma State,Big 12,20,13,0.606,,,Lost First Round,2016-17,20,13,0.606,1,,,,109,27,0.801,4,,,,Illinois,Big Ten,14,18,0.438,,,,2017-18,14,18,0.438,,,,,123,45,0.732,4,,,,N,
298,Corey Williams,Stetson,A-Sun,7,24,0.226,,,,2013-14,7,24,0.226,,,,,7,24,0.226,,,,,Stetson,A-Sun,9,22,0.29,,,,2013-14,16,46,0.258,,,,,16,46,0.258,,,,,Stetson,A-Sun,12,22,0.353,,,,2013-14,28,68,0.292,,,,,28,68,0.292,,,,,Stetson,A-Sun,11,21,0.344,,,,2013-14,39,89,0.305,,,,,39,89,0.305,,,,,Stetson,A-Sun,12,20,0.375,,,,2013-14,51,109,0.319,,,,,51,109,0.319,,,,,N,
299,Steve Pikiell,Stony Brook,AEC,23,11,0.676,,,,2005-06,143,137,0.511,,,,,143,137,0.511,,,,,Stony Brook,AEC,23,12,0.657,,,,2005-06,166,149,0.527,,,,,166,149,0.527,,,,,Stony Brook,AEC,26,7,0.788,,,Lost First Round,2005-06,192,156,0.552,1,,,,192,156,0.552,1,,,,Rutgers,Big Ten,15,18,0.455,,,,2016-17,15,18,0.455,,,,,207,174,0.543,1,,,,Rutgers,Big Ten,15,19,0.441,,,,2016-17,30,37,0.448,,,,,222,193,0.535,1,,,,N,
300,Jim Boeheim*,Syracuse,ACC,28,6,0.824,8,14,Lost Third Round,1976-77,948,320,0.748,31,16,4,1,948,320,0.748,31,16,4,1,Syracuse,ACC,18,13,0.581,23,,,1976-77,966,333,0.744,31,16,4,1,966,333,0.744,31,16,4,1,Syracuse,ACC,19,9,0.679,,,Lost National Semifinal,1976-77,985,342,0.742,32,17,5,1,985,342,0.742,32,17,5,1,Syracuse,ACC,19,15,0.559,19,,,1976-77,1004,357,0.738,32,17,5,1,1004,357,0.738,32,17,5,1,Syracuse,ACC,23,14,0.622,,,Lost Regional Semifinal,1976-77,1027,371,0.735,33,18,5,1,1027,371,0.735,33,18,5,1,N,
301,Fran Dunphy,Temple,AAC,9,22,0.29,,,,2006-07,167,97,0.633,6,,,,477,260,0.647,15,,,,Temple,AAC,26,11,0.703,,,,2006-07,193,108,0.641,6,,,,503,271,0.65,15,,,,Temple,AAC,21,12,0.636,,,Lost First Round,2006-07,214,120,0.641,7,,,,524,283,0.649,16,,,,Temple,AAC,16,16,0.5,,,,2006-07,230,136,0.628,7,,,,540,299,0.644,16,,,,Temple,AAC,17,16,0.515,,,,2006-07,247,152,0.619,7,,,,557,315,0.639,16,,,,N,
302,Cuonzo Martin,Tennessee,SEC,24,13,0.649,,,Lost Regional Semifinal,2011-12,63,41,0.606,1,1,,,124,82,0.602,1,1,,,California,Pac-12,18,15,0.545,,,,2014-15,18,15,0.545,,,,,142,97,0.594,1,1,,,California,Pac-12,23,11,0.676,14,23,Lost First Round,2014-15,41,26,0.612,1,,,,165,108,0.604,2,1,,,California,Pac-12,21,13,0.618,,,,2014-15,62,39,0.614,1,,,,186,121,0.606,2,1,,,Missouri,SEC,20,13,0.606,,,Lost First Round,2017-18,20,13,0.606,1,,,,206,134,0.606,3,1,,,N,
303,Jason James,UT-Martin,OVC,8,23,0.258,,,,2009-10,37,117,0.24,,,,,37,117,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2014
304,Travis Williams,Tennessee State,OVC,5,25,0.167,,,,2012-13,23,40,0.365,,,,,23,40,0.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2014
305,Steve Payne,Tennessee Tech,OVC,17,16,0.515,,,,2011-12,48,47,0.505,,,,,48,47,0.505,,,,,Tennessee Tech,OVC,12,18,0.4,,,,2011-12,60,65,0.48,,,,,60,65,0.48,,,,,Tennessee Tech,OVC,19,12,0.613,,,,2011-12,79,77,0.506,,,,,79,77,0.506,,,,,Tennessee Tech,OVC,12,20,0.375,,,,2011-12,91,97,0.484,,,,,91,97,0.484,,,,,Tennessee Tech,OVC,19,14,0.576,,,,2011-12,110,111,0.498,,,,,110,111,0.498,,,,,N,
306,Rick Barnes,Texas,Big 12,24,11,0.686,,,Lost Third Round,1998-99,382,166,0.697,15,5,1,,584,300,0.661,21,6,1,,Texas,Big 12,20,14,0.588,10,,Lost Second Round,1998-99,402,180,0.691,16,5,1,,604,314,0.658,22,6,1,,Tennessee,SEC,15,19,0.441,,,,2015-16,15,19,0.441,,,,,619,333,0.65,22,6,1,,Tennessee,SEC,16,16,0.5,,,,2015-16,31,35,0.47,,,,,635,349,0.645,22,6,1,,Tennessee,SEC,26,9,0.743,,13,Lost Second Round,2015-16,57,44,0.564,1,,,,661,358,0.649,23,6,1,,Y,2015
307,Billy Kennedy,Texas A&M,SEC,18,16,0.529,,,,2011-12,50,49,0.505,,,,,261,228,0.534,2,,,,Texas A&M,SEC,21,12,0.636,,,,2011-12,71,61,0.538,,,,,282,240,0.54,2,,,,Texas A&M,SEC,28,9,0.757,,15,Lost Regional Semifinal,2011-12,99,70,0.586,1,1,,,310,249,0.555,3,1,,,Texas A&M,SEC,16,15,0.516,,,,2011-12,115,85,0.575,1,1,,,326,264,0.553,3,1,,,Texas A&M,SEC,22,13,0.629,25,,Lost Regional Semifinal,2011-12,137,98,0.583,2,2,,,348,277,0.557,4,2,,,N,
308,Willis Wilson,Texas A&M-Corpus Christi,Southland,18,16,0.529,,,,2011-12,30,63,0.323,,,,,248,310,0.444,,,,,Texas A&M-Corpus Christi,Southland,20,14,0.588,,,,2011-12,50,77,0.394,,,,,268,324,0.453,,,,,Texas A&M-Corpus Christi,Southland,25,8,0.758,,,,2011-12,75,85,0.469,,,,,293,332,0.469,,,,,Texas A&M-Corpus Christi,Southland,24,12,0.667,,,,2011-12,99,97,0.505,,,,,317,344,0.48,,,,,Texas A&M-Corpus Christi,Southland,11,18,0.379,,,,2011-12,110,115,0.489,,,,,328,362,0.475,,,,,N,
309,Scott Cross,Texas-Arlington,Sun Belt,15,17,0.469,,,,2006-07,137,113,0.548,1,,,,137,113,0.548,1,,,,Texas-Arlington,Sun Belt,16,15,0.516,,,,2006-07,153,128,0.544,1,,,,153,128,0.544,1,,,,Texas-Arlington,Sun Belt,24,11,0.686,,,,2006-07,177,139,0.56,1,,,,177,139,0.56,1,,,,Texas-Arlington,Sun Belt,27,9,0.75,,,,2006-07,204,148,0.58,1,,,,204,148,0.58,1,,,,Texas-Arlington,Sun Belt,21,13,0.618,,,,2006-07,225,161,0.583,1,,,,225,161,0.583,1,,,,N,
310,Trent Johnson,TCU,Big 12,9,22,0.29,,,,2012-13,20,43,0.317,,,,,246,229,0.518,5,2,,,TCU,Big 12,18,15,0.545,,,,2012-13,38,58,0.396,,,,,264,244,0.52,5,2,,,TCU,Big 12,12,21,0.364,,,,2012-13,50,79,0.388,,,,,276,265,0.51,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2016
311,Tim Floyd*,UTEP,CUSA,23,11,0.676,,,,2010-11,81,52,0.609,,,,,408,233,0.637,8,2,,,UTEP,CUSA,22,11,0.667,,,,2010-11,103,63,0.62,,,,,430,244,0.638,8,2,,,UTEP,CUSA,19,14,0.576,,,,2010-11,122,77,0.613,,,,,449,258,0.635,8,2,,,UTEP,CUSA,15,17,0.469,,,,2010-11,137,94,0.593,,,,,464,275,0.628,8,2,,,UTEP,CUSA,1,5,0.167,,,,2010-11,138,99,0.582,,,,,465,280,0.624,8,2,,,N,
312,Dan Hipsher,Texas-Rio Grande Valley,WAC,9,23,0.281,,,,2013-14,9,23,0.281,,,,,150,187,0.445,,,,,Texas-Rio Grande Valley,WAC,10,21,0.323,,,,2013-14,19,44,0.302,,,,,160,208,0.435,,,,,Texas-Rio Grande Valley,WAC,8,22,0.267,,,,2013-14,27,66,0.29,,,,,168,230,0.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2016
313,Brooks Thompson,UTSA,CUSA,8,22,0.267,,,,2006-07,114,135,0.458,1,,,,114,135,0.458,1,,,,UTSA,CUSA,14,16,0.467,,,,2006-07,128,151,0.459,1,,,,128,151,0.459,1,,,,UTSA,CUSA,5,27,0.156,,,,2006-07,133,178,0.428,1,,,,133,178,0.428,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2016
314,Mike Davis,Texas Southern,SWAC,19,15,0.559,,,,2012-13,36,29,0.554,1,,,,273,181,0.601,6,1,1,,Texas Southern,SWAC,22,13,0.629,,,Lost Second Round,2012-13,58,42,0.58,2,,,,295,194,0.603,7,1,1,,Texas Southern,SWAC,18,15,0.545,,,,2012-13,76,57,0.571,2,,,,313,209,0.6,7,1,1,,Texas Southern,SWAC,23,12,0.657,,,Lost First Round,2012-13,99,69,0.589,3,,,,336,221,0.603,8,1,1,,Texas Southern,SWAC,16,20,0.444,,,Lost First Round,2012-13,115,89,0.564,4,,,,352,241,0.594,9,1,1,,N,
315,Danny Kaspar,Texas State,Sun Belt,8,23,0.258,,,,2013-14,8,23,0.258,,,,,254,164,0.608,1,,,,Texas State,Sun Belt,14,17,0.452,,,,2013-14,22,40,0.355,,,,,268,181,0.597,1,,,,Texas State,Sun Belt,15,16,0.484,,,,2013-14,37,56,0.398,,,,,283,197,0.59,1,,,,Texas State,Sun Belt,22,14,0.611,,,,2013-14,59,70,0.457,,,,,305,211,0.591,1,,,,Texas State,Sun Belt,15,18,0.455,,,,2013-14,74,88,0.457,,,,,320,229,0.583,1,,,,N,
316,Tubby Smith,Texas Tech,Big 12,14,18,0.438,,,,2013-14,14,18,0.438,,,,,525,244,0.683,17,9,1,1,Texas Tech,Big 12,13,19,0.406,,,,2013-14,27,37,0.422,,,,,538,263,0.672,17,9,1,1,Texas Tech,Big 12,19,13,0.594,,,Lost First Round,2013-14,46,50,0.479,1,,,,557,276,0.669,18,9,1,1,Memphis,AAC,19,13,0.594,,,,2016-17,19,13,0.594,,,,,576,289,0.666,18,9,1,1,Memphis,AAC,21,13,0.618,,,,2016-17,40,26,0.606,,,,,597,302,0.664,18,9,1,1,N,
317,Tod Kowalczyk,Toledo,MAC,27,7,0.794,,,,2010-11,65,65,0.5,,,,,201,177,0.532,,,,,Toledo,MAC,20,13,0.606,,,,2010-11,85,78,0.521,,,,,221,190,0.538,,,,,Toledo,MAC,17,15,0.531,,,,2010-11,102,93,0.523,,,,,238,205,0.537,,,,,Toledo,MAC,17,17,0.5,,,,2010-11,119,110,0.52,,,,,255,222,0.535,,,,,Toledo,MAC,23,11,0.676,,,,2010-11,142,121,0.54,,,,,278,233,0.544,,,,,N,
318,Pat Skerry,Towson,CAA,25,11,0.694,,,,2011-12,44,55,0.444,,,,,44,55,0.444,,,,,Towson,CAA,12,20,0.375,,,,2011-12,56,75,0.427,,,,,56,75,0.427,,,,,Towson,CAA,20,13,0.606,,,,2011-12,76,88,0.463,,,,,76,88,0.463,,,,,Towson,CAA,20,13,0.606,,,,2011-12,96,101,0.487,,,,,96,101,0.487,,,,,Towson,CAA,18,14,0.562,,,,2011-12,114,115,0.498,,,,,114,115,0.498,,,,,N,
319,Phil Cunningham,Troy,Sun Belt,11,20,0.355,,,,2013-14,11,20,0.355,,,,,11,20,0.355,,,,,Troy,Sun Belt,10,19,0.345,,,,2013-14,21,39,0.35,,,,,21,39,0.35,,,,,Troy,Sun Belt,9,22,0.29,,,,2013-14,30,61,0.33,,,,,30,61,0.33,,,,,Troy,Sun Belt,22,15,0.595,,,Lost First Round,2013-14,52,76,0.406,1,,,,52,76,0.406,1,,,,Troy,Sun Belt,16,17,0.485,,,,2013-14,68,93,0.422,1,,,,68,93,0.422,1,,,,N,
320,Ed Conroy,Tulane,CUSA,17,17,0.5,,,,2010-11,65,65,0.5,,,,,114,141,0.447,,,,,Tulane,AAC,15,16,0.484,,,,2010-11,80,81,0.497,,,,,129,157,0.451,,,,,Tulane,AAC,12,22,0.353,,,,2010-11,92,103,0.472,,,,,141,179,0.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2016
321,Danny Manning,Tulsa,CUSA,21,13,0.618,,,Lost Second Round,2012-13,38,29,0.567,1,,,,38,29,0.567,1,,,,Wake Forest,ACC,13,19,0.406,,,,2014-15,13,19,0.406,,,,,51,48,0.515,1,,,,Wake Forest,ACC,11,20,0.355,,,,2014-15,24,39,0.381,,,,,62,68,0.477,1,,,,Wake Forest,ACC,19,14,0.576,,,,2014-15,43,53,0.448,1,,,,81,82,0.497,2,,,,Wake Forest,ACC,11,20,0.355,,,,2014-15,54,73,0.425,1,,,,92,102,0.474,2,,,,N,
322,Steve Alford,UCLA,Pac-12,28,9,0.757,22,20,Lost Regional Semifinal,2013-14,28,9,0.757,1,1,,,413,215,0.658,8,2,,,UCLA,Pac-12,22,14,0.611,,,Lost Regional Semifinal,2013-14,50,23,0.685,2,2,,,435,229,0.655,9,3,,,UCLA,Pac-12,15,17,0.469,,,,2013-14,65,40,0.619,2,2,,,450,246,0.647,9,3,,,UCLA,Pac-12,31,5,0.861,16,8,Lost Regional Semifinal,2013-14,96,45,0.681,3,3,,,481,251,0.657,10,4,,,UCLA,Pac-12,21,12,0.636,21,,,2013-14,117,57,0.672,4,3,,,502,263,0.656,11,4,,,N,
323,Larry Krystkowiak,Utah,Pac-12,21,12,0.636,,,,2011-12,42,55,0.433,,,,,84,75,0.528,2,,,,Utah,Pac-12,26,9,0.743,25,19,Lost Regional Semifinal,2011-12,68,64,0.515,1,1,,,110,84,0.567,3,1,,,Utah,Pac-12,27,9,0.75,16,13,Lost Second Round,2011-12,95,73,0.565,2,1,,,137,93,0.596,4,1,,,Utah,Pac-12,20,12,0.625,,,,2011-12,115,85,0.575,2,1,,,157,105,0.599,4,1,,,Utah,Pac-12,23,12,0.657,,,,2011-12,138,97,0.587,2,1,,,180,117,0.606,4,1,,,N,
324,Stew Morrill,Utah State,MWC,18,14,0.562,,,,1998-99,384,143,0.729,8,,,,602,281,0.682,9,,,,Utah State,MWC,18,13,0.581,,,,1998-99,402,156,0.72,8,,,,620,294,0.678,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
325,Dick Hunsaker,Utah Valley,WAC,20,12,0.625,,,,2004-05,171,129,0.57,,,,,286,175,0.62,2,1,,,Utah Valley,WAC,11,19,0.367,,,,2004-05,182,148,0.552,,,,,297,194,0.605,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
326,Bryce Drew,Valparaiso,Horizon,18,16,0.529,,,,2011-12,66,36,0.647,1,,,,66,36,0.647,1,,,,Valparaiso,Horizon,28,6,0.824,,,Lost Second Round,2011-12,94,42,0.691,2,,,,94,42,0.691,2,,,,Valparaiso,Horizon,30,7,0.811,,,,2011-12,124,49,0.717,2,,,,124,49,0.717,2,,,,Vanderbilt,SEC,19,16,0.543,,,Lost First Round,2016-17,19,16,0.543,1,,,,143,65,0.688,3,,,,Vanderbilt,SEC,12,20,0.375,,,,2016-17,31,36,0.463,1,,,,155,85,0.646,3,,,,N,
327,Kevin Stallings,Vanderbilt,SEC,15,16,0.484,,,,1999-00,292,192,0.603,6,2,,,415,255,0.619,8,2,,,Vanderbilt,SEC,21,14,0.6,,,,1999-00,313,206,0.603,6,2,,,436,269,0.618,8,2,,,Vanderbilt,SEC,19,14,0.576,18,,,1999-00,332,220,0.601,7,2,,,455,283,0.617,9,2,,,Pitt,ACC,16,17,0.485,,,,2016-17,16,17,0.485,,,,,471,300,0.611,9,2,,,Pitt,ACC,8,24,0.25,,,,2016-17,24,41,0.369,,,,,479,324,0.597,9,2,,,N,
328,John Becker,Vermont,AEC,22,11,0.667,,,,2011-12,67,35,0.657,1,,,,67,35,0.657,1,,,,Vermont,AEC,20,14,0.588,,,,2011-12,87,49,0.64,1,,,,87,49,0.64,1,,,,Vermont,AEC,23,14,0.622,,,,2011-12,110,63,0.636,1,,,,110,63,0.636,1,,,,Vermont,AEC,29,6,0.829,,,Lost First Round,2011-12,139,69,0.668,2,,,,139,69,0.668,2,,,,Vermont,AEC,27,8,0.771,,,,2011-12,166,77,0.683,2,,,,166,77,0.683,2,,,,N,
329,Jay Wright,Villanova,Big East,29,5,0.853,,6,Lost Third Round,2001-02,286,149,0.657,9,4,1,,408,234,0.636,11,4,1,,Villanova,Big East,33,3,0.917,12,2,Lost Third Round,2001-02,319,152,0.677,10,4,1,,441,237,0.65,12,4,1,,Villanova,Big East,35,5,0.875,11,6,Won National Final,2001-02,354,157,0.693,11,5,2,1,476,242,0.663,13,5,2,1,Villanova,Big East,32,4,0.889,4,1,Lost Second Round,2001-02,386,161,0.706,12,5,2,1,508,246,0.674,14,5,2,1,Villanova,Big East,36,4,0.9,6,2,Won National Final,2001-02,422,165,0.719,13,6,3,2,544,250,0.685,15,6,3,2,N,
330,Tony Bennett,Virginia,ACC,30,7,0.811,24,3,Lost Regional Semifinal,2009-10,106,60,0.639,2,1,,,175,93,0.653,4,2,,,Virginia,ACC,30,4,0.882,9,6,Lost Third Round,2009-10,136,64,0.68,3,1,,,205,97,0.679,5,2,,,Virginia,ACC,29,8,0.784,6,4,Lost Regional Final,2009-10,165,72,0.696,4,2,,,234,105,0.69,6,3,,,Virginia,ACC,23,11,0.676,8,24,Lost Second Round,2009-10,188,83,0.694,5,2,,,257,116,0.689,7,3,,,Virginia,ACC,31,3,0.912,,1,Lost First Round,2009-10,219,86,0.718,6,2,,,288,119,0.708,8,3,,,N,
331,Shaka Smart,VCU,A-10,26,9,0.743,14,24,Lost Second Round,2009-10,137,46,0.749,4,1,1,,137,46,0.749,4,1,1,,VCU,A-10,26,10,0.722,15,25,Lost Second Round,2009-10,163,56,0.744,5,1,1,,163,56,0.744,5,1,1,,Texas,Big 12,20,13,0.606,,,Lost First Round,2015-16,20,13,0.606,1,,,,183,69,0.726,6,1,1,,Texas,Big 12,11,22,0.333,21,,,2015-16,31,35,0.47,1,,,,194,91,0.681,6,1,1,,Texas,Big 12,19,15,0.559,,,Lost First Round,2015-16,50,50,0.5,2,,,,213,106,0.668,7,1,1,,N,
332,Duggar Baucom,VMI,Big South,22,13,0.629,,,,2005-06,140,140,0.5,,,,,140,140,0.5,,,,,VMI,Southern,11,19,0.367,,,,2005-06,151,159,0.487,,,,,151,159,0.487,,,,,Citadel,Southern,10,22,0.312,,,,2015-16,10,22,0.312,,,,,161,181,0.471,,,,,Citadel,Southern,12,21,0.364,,,,2015-16,22,43,0.338,,,,,173,202,0.461,,,,,Citadel,Southern,11,21,0.344,,,,2015-16,33,64,0.34,,,,,184,223,0.452,,,,,N,
333,James Johnson,Virginia Tech,ACC,9,22,0.29,,,,2012-13,22,41,0.349,,,,,22,41,0.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2014
334,Bashir Mason,Wagner,NEC,19,12,0.613,,,,2012-13,38,24,0.613,,,,,38,24,0.613,,,,,Wagner,NEC,10,20,0.333,,,,2012-13,48,44,0.522,,,,,48,44,0.522,,,,,Wagner,NEC,23,11,0.676,,,,2012-13,71,55,0.563,,,,,71,55,0.563,,,,,Wagner,NEC,16,14,0.533,,,,2012-13,87,69,0.558,,,,,87,69,0.558,,,,,Wagner,NEC,23,10,0.697,,,,2012-13,110,79,0.582,,,,,110,79,0.582,,,,,N,
335,Jeff Bzdelik,Wake Forest,ACC,17,16,0.515,,,,2010-11,51,76,0.402,,,,,162,181,0.472,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
